"co_procedimento";"co_cid"
"0201010038";"C73 "
"0201010038";"D093"
"0201010038";"D34 "
"0201010038";"D440"
"0201010046";"C211"
"0201010046";"C218"
"0201010046";"D013"
"0201010046";"K626"
"0201010046";"K629"
"0201010062";"C670"
"0201010062";"C671"
"0201010062";"C672"
"0201010062";"C673"
"0201010062";"C674"
"0201010062";"C675"
"0201010062";"C678"
"0201010062";"D090"
"0201010062";"D303"
"0201010062";"N300"
"0201010062";"N301"
"0201010062";"N302"
"0201010062";"N303"
"0201010062";"N304"
"0201010062";"N308"
"0201010062";"N330"
"0201010062";"N338"
"0201010070";"C632"
"0201010070";"D294"
"0201010097";"C690"
"0201010097";"D210"
"0201010097";"H119"
"0201010100";"C631"
"0201010100";"D297"
"0201010119";"H158"
"0201010119";"H189"
"0201010127";"B902"
"0201010127";"C409"
"0201010127";"C412"
"0201010127";"C419"
"0201010127";"C795"
"0201010127";"D166"
"0201010127";"D169"
"0201010127";"D480"
"0201010127";"G600"
"0201010127";"G952"
"0201010127";"G958"
"0201010127";"M053"
"0201010127";"M058"
"0201010127";"M059"
"0201010127";"M060"
"0201010127";"M061"
"0201010127";"M064"
"0201010127";"M068"
"0201010127";"M069"
"0201010127";"M072"
"0201010127";"M080"
"0201010127";"M081"
"0201010127";"M082"
"0201010127";"M083"
"0201010127";"M146"
"0201010127";"M401"
"0201010127";"M402"
"0201010127";"M403"
"0201010127";"M404"
"0201010127";"M413"
"0201010127";"M415"
"0201010127";"M418"
"0201010127";"M419"
"0201010127";"M420"
"0201010127";"M421"
"0201010127";"M429"
"0201010127";"M430"
"0201010127";"M431"
"0201010127";"M436"
"0201010127";"M439"
"0201010127";"M45 "
"0201010127";"M462"
"0201010127";"M463"
"0201010127";"M464"
"0201010127";"M465"
"0201010127";"M468"
"0201010127";"M469"
"0201010127";"M470"
"0201010127";"M471"
"0201010127";"M472"
"0201010127";"M478"
"0201010127";"M479"
"0201010127";"M480"
"0201010127";"M481"
"0201010127";"M482"
"0201010127";"M483"
"0201010127";"M484"
"0201010127";"M485"
"0201010127";"M488"
"0201010127";"M490"
"0201010127";"M491"
"0201010127";"M492"
"0201010127";"M493"
"0201010127";"M494"
"0201010127";"M495"
"0201010127";"M500"
"0201010127";"M501"
"0201010127";"M502"
"0201010127";"M503"
"0201010127";"M508"
"0201010127";"M509"
"0201010127";"M510"
"0201010127";"M511"
"0201010127";"M512"
"0201010127";"M513"
"0201010127";"M518"
"0201010127";"M519"
"0201010127";"M532"
"0201010127";"M800"
"0201010127";"M801"
"0201010127";"M802"
"0201010127";"M803"
"0201010127";"M804"
"0201010127";"M805"
"0201010127";"M808"
"0201010127";"M809"
"0201010127";"M850"
"0201010127";"M851"
"0201010127";"M853"
"0201010127";"M854"
"0201010127";"M855"
"0201010127";"M856"
"0201010127";"M860"
"0201010127";"M861"
"0201010127";"M862"
"0201010127";"M863"
"0201010127";"M864"
"0201010127";"M865"
"0201010127";"M866"
"0201010127";"M870"
"0201010127";"M872"
"0201010127";"M878"
"0201010127";"M891"
"0201010127";"M892"
"0201010127";"M893"
"0201010127";"M895"
"0201010127";"M960"
"0201010127";"M961"
"0201010127";"M962"
"0201010127";"M963"
"0201010127";"M964"
"0201010127";"M965"
"0201010127";"M966"
"0201010127";"M991"
"0201010127";"M992"
"0201010127";"M993"
"0201010127";"M994"
"0201010127";"M995"
"0201010127";"M996"
"0201010127";"M997"
"0201010127";"Q062"
"0201010127";"Q063"
"0201010127";"Q068"
"0201010127";"Q069"
"0201010127";"Q760"
"0201010127";"Q762"
"0201010127";"Q763"
"0201010127";"Q764"
"0201010127";"Q780"
"0201010127";"Q781"
"0201010127";"Q782"
"0201010127";"Q784"
"0201010127";"Q788"
"0201010127";"Q789"
"0201010127";"Q874"
"0201010127";"S122"
"0201010127";"S130"
"0201010127";"S131"
"0201010127";"S220"
"0201010127";"S221"
"0201010127";"S230"
"0201010127";"S231"
"0201010127";"S320"
"0201010127";"S321"
"0201010127";"S327"
"0201010127";"S328"
"0201010127";"S330"
"0201010127";"S331"
"0201010127";"T840"
"0201010127";"T842"
"0201010127";"T843"
"0201010127";"T844"
"0201010127";"T845"
"0201010127";"T846"
"0201010127";"T847"
"0201010127";"T848"
"0201010127";"T849"
"0201010127";"T911"
"0201010127";"T913"
"0201010127";"T918"
"0201010127";"T919"
"0201010135";"B902"
"0201010135";"C412"
"0201010135";"C795"
"0201010135";"D166"
"0201010135";"D480"
"0201010135";"G600"
"0201010135";"G952"
"0201010135";"G958"
"0201010135";"M053"
"0201010135";"M058"
"0201010135";"M059"
"0201010135";"M060"
"0201010135";"M061"
"0201010135";"M064"
"0201010135";"M068"
"0201010135";"M069"
"0201010135";"M072"
"0201010135";"M080"
"0201010135";"M081"
"0201010135";"M082"
"0201010135";"M083"
"0201010135";"M146"
"0201010135";"M401"
"0201010135";"M402"
"0201010135";"M403"
"0201010135";"M404"
"0201010135";"M413"
"0201010135";"M415"
"0201010135";"M418"
"0201010135";"M419"
"0201010135";"M420"
"0201010135";"M421"
"0201010135";"M429"
"0201010135";"M430"
"0201010135";"M431"
"0201010135";"M436"
"0201010135";"M439"
"0201010135";"M45 "
"0201010135";"M462"
"0201010135";"M463"
"0201010135";"M464"
"0201010135";"M465"
"0201010135";"M468"
"0201010135";"M469"
"0201010135";"M470"
"0201010135";"M471"
"0201010135";"M472"
"0201010135";"M478"
"0201010135";"M479"
"0201010135";"M480"
"0201010135";"M481"
"0201010135";"M482"
"0201010135";"M483"
"0201010135";"M484"
"0201010135";"M485"
"0201010135";"M488"
"0201010135";"M490"
"0201010135";"M491"
"0201010135";"M492"
"0201010135";"M493"
"0201010135";"M494"
"0201010135";"M495"
"0201010135";"M500"
"0201010135";"M501"
"0201010135";"M502"
"0201010135";"M503"
"0201010135";"M508"
"0201010135";"M509"
"0201010135";"M510"
"0201010135";"M511"
"0201010135";"M512"
"0201010135";"M513"
"0201010135";"M518"
"0201010135";"M519"
"0201010135";"M532"
"0201010135";"M800"
"0201010135";"M801"
"0201010135";"M802"
"0201010135";"M803"
"0201010135";"M804"
"0201010135";"M805"
"0201010135";"M808"
"0201010135";"M809"
"0201010135";"M850"
"0201010135";"M851"
"0201010135";"M853"
"0201010135";"M854"
"0201010135";"M855"
"0201010135";"M856"
"0201010135";"M860"
"0201010135";"M861"
"0201010135";"M862"
"0201010135";"M863"
"0201010135";"M864"
"0201010135";"M865"
"0201010135";"M866"
"0201010135";"M870"
"0201010135";"M872"
"0201010135";"M878"
"0201010135";"M891"
"0201010135";"M892"
"0201010135";"M893"
"0201010135";"M895"
"0201010135";"M960"
"0201010135";"M961"
"0201010135";"M962"
"0201010135";"M963"
"0201010135";"M964"
"0201010135";"M965"
"0201010135";"M966"
"0201010135";"M991"
"0201010135";"M992"
"0201010135";"M993"
"0201010135";"M994"
"0201010135";"M995"
"0201010135";"M996"
"0201010135";"M997"
"0201010135";"Q062"
"0201010135";"Q063"
"0201010135";"Q068"
"0201010135";"Q069"
"0201010135";"Q760"
"0201010135";"Q762"
"0201010135";"Q763"
"0201010135";"Q764"
"0201010135";"Q780"
"0201010135";"Q781"
"0201010135";"Q782"
"0201010135";"Q784"
"0201010135";"Q788"
"0201010135";"Q789"
"0201010135";"Q874"
"0201010135";"S122"
"0201010135";"S130"
"0201010135";"S131"
"0201010135";"S220"
"0201010135";"S221"
"0201010135";"S230"
"0201010135";"S231"
"0201010135";"S320"
"0201010135";"S321"
"0201010135";"S327"
"0201010135";"S328"
"0201010135";"S330"
"0201010135";"S331"
"0201010135";"T840"
"0201010135";"T842"
"0201010135";"T843"
"0201010135";"T844"
"0201010135";"T845"
"0201010135";"T846"
"0201010135";"T847"
"0201010135";"T848"
"0201010135";"T849"
"0201010135";"T911"
"0201010135";"T913"
"0201010135";"T918"
"0201010135";"T919"
"0201010143";"I410"
"0201010143";"I411"
"0201010143";"I412"
"0201010143";"I420"
"0201010143";"I423"
"0201010143";"I424"
"0201010143";"I428"
"0201010143";"I429"
"0201010151";"C540"
"0201010151";"C541"
"0201010151";"C543"
"0201010151";"C548"
"0201010151";"D070"
"0201010151";"N710"
"0201010151";"N711"
"0201010151";"N719"
"0201010151";"N800"
"0201010151";"N840"
"0201010151";"N850"
"0201010151";"N851"
"0201010151";"N938"
"0201010151";"N970"
"0201010151";"N972"
"0201010160";"C541"
"0201010160";"C548"
"0201010160";"D070"
"0201010160";"D260"
"0201010160";"N840"
"0201010160";"N850"
"0201010160";"N851"
"0201010160";"N972"
"0201010178";"N450"
"0201010178";"N46 "
"0201010186";"H150"
"0201010186";"H151"
"0201010186";"H159"
"0201010208";"B160"
"0201010208";"B161"
"0201010208";"B162"
"0201010208";"B169"
"0201010208";"B171"
"0201010208";"B178"
"0201010208";"B180"
"0201010208";"B181"
"0201010208";"B182"
"0201010208";"B188"
"0201010208";"B189"
"0201010208";"C229"
"0201010208";"C787"
"0201010208";"D134"
"0201010208";"D376"
"0201010208";"E830"
"0201010208";"E831"
"0201010208";"K729"
"0201010208";"K730"
"0201010208";"K731"
"0201010208";"K732"
"0201010208";"K738"
"0201010208";"K739"
"0201010208";"K740"
"0201010208";"K741"
"0201010208";"K742"
"0201010208";"K743"
"0201010208";"K744"
"0201010208";"K745"
"0201010208";"K746"
"0201010208";"K763"
"0201010208";"K764"
"0201010208";"K768"
"0201010208";"K769"
"0201010224";"C770"
"0201010224";"C771"
"0201010224";"C772"
"0201010224";"C773"
"0201010224";"C774"
"0201010224";"C775"
"0201010224";"C778"
"0201010224";"C819"
"0201010224";"D360"
"0201010240";"H219"
"0201010259";"B902"
"0201010259";"C412"
"0201010259";"C795"
"0201010259";"D166"
"0201010259";"D480"
"0201010259";"G600"
"0201010259";"G952"
"0201010259";"G958"
"0201010259";"M053"
"0201010259";"M058"
"0201010259";"M059"
"0201010259";"M060"
"0201010259";"M061"
"0201010259";"M064"
"0201010259";"M068"
"0201010259";"M069"
"0201010259";"M072"
"0201010259";"M080"
"0201010259";"M081"
"0201010259";"M082"
"0201010259";"M083"
"0201010259";"M146"
"0201010259";"M401"
"0201010259";"M402"
"0201010259";"M403"
"0201010259";"M404"
"0201010259";"M413"
"0201010259";"M415"
"0201010259";"M418"
"0201010259";"M419"
"0201010259";"M420"
"0201010259";"M421"
"0201010259";"M429"
"0201010259";"M430"
"0201010259";"M431"
"0201010259";"M436"
"0201010259";"M439"
"0201010259";"M45 "
"0201010259";"M462"
"0201010259";"M463"
"0201010259";"M464"
"0201010259";"M465"
"0201010259";"M468"
"0201010259";"M469"
"0201010259";"M470"
"0201010259";"M471"
"0201010259";"M472"
"0201010259";"M478"
"0201010259";"M479"
"0201010259";"M480"
"0201010259";"M481"
"0201010259";"M482"
"0201010259";"M483"
"0201010259";"M484"
"0201010259";"M485"
"0201010259";"M488"
"0201010259";"M490"
"0201010259";"M491"
"0201010259";"M492"
"0201010259";"M493"
"0201010259";"M494"
"0201010259";"M495"
"0201010259";"M500"
"0201010259";"M501"
"0201010259";"M502"
"0201010259";"M503"
"0201010259";"M508"
"0201010259";"M509"
"0201010259";"M510"
"0201010259";"M511"
"0201010259";"M512"
"0201010259";"M513"
"0201010259";"M518"
"0201010259";"M519"
"0201010259";"M532"
"0201010259";"M800"
"0201010259";"M801"
"0201010259";"M802"
"0201010259";"M803"
"0201010259";"M804"
"0201010259";"M805"
"0201010259";"M808"
"0201010259";"M809"
"0201010259";"M850"
"0201010259";"M851"
"0201010259";"M853"
"0201010259";"M854"
"0201010259";"M855"
"0201010259";"M856"
"0201010259";"M860"
"0201010259";"M861"
"0201010259";"M862"
"0201010259";"M863"
"0201010259";"M864"
"0201010259";"M865"
"0201010259";"M866"
"0201010259";"M870"
"0201010259";"M872"
"0201010259";"M878"
"0201010259";"M891"
"0201010259";"M892"
"0201010259";"M893"
"0201010259";"M895"
"0201010259";"M960"
"0201010259";"M961"
"0201010259";"M962"
"0201010259";"M963"
"0201010259";"M964"
"0201010259";"M965"
"0201010259";"M966"
"0201010259";"M991"
"0201010259";"M992"
"0201010259";"M993"
"0201010259";"M994"
"0201010259";"M995"
"0201010259";"M996"
"0201010259";"M997"
"0201010259";"Q062"
"0201010259";"Q063"
"0201010259";"Q068"
"0201010259";"Q069"
"0201010259";"Q760"
"0201010259";"Q762"
"0201010259";"Q763"
"0201010259";"Q764"
"0201010259";"Q780"
"0201010259";"Q781"
"0201010259";"Q782"
"0201010259";"Q784"
"0201010259";"Q788"
"0201010259";"Q789"
"0201010259";"Q874"
"0201010259";"S122"
"0201010259";"S130"
"0201010259";"S131"
"0201010259";"S220"
"0201010259";"S221"
"0201010259";"S230"
"0201010259";"S231"
"0201010259";"S320"
"0201010259";"S321"
"0201010259";"S327"
"0201010259";"S328"
"0201010259";"S330"
"0201010259";"S331"
"0201010259";"T840"
"0201010259";"T842"
"0201010259";"T843"
"0201010259";"T844"
"0201010259";"T845"
"0201010259";"T846"
"0201010259";"T847"
"0201010259";"T848"
