"co_procedimento";"qt_maxima_execucao";"qt_dias_permanencia";"qt_pontos";"vl_idade_minima";"vl_idade_maxima";"vl_servico_hospitalar";"vl_servico_ambulatorial";"vl_servico_profissional";"qt_tempo_permanencia"
"0101010010";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0101010028";"9999";"9999";"0000";"0084";"1571";"0000000000";"0000000270";"0000000000";"9999"
"0101010036";"9999";"9999";"0000";"0072";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101020015";"9999";"9999";"0000";"0048";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101020023";"9999";"9999";"0000";"0084";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101020031";"9999";"9999";"0000";"0036";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101020040";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101020058";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101020066";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101020074";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101020082";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101020090";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101030010";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101030029";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101040024";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101040032";"9999";"9999";"0000";"0144";"0599";"0000000000";"0000000300";"0000000000";"9999"
"0101040040";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000001106";"0000000000";"9999"
"0101040059";"9999";"9999";"0000";"0006";"0599";"0000000000";"0000000000";"0000000000";"9999"
"0101040067";"9999";"9999";"0000";"0006";"0599";"0000000000";"0000000000";"0000000000";"9999"
"0101050011";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050020";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050046";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050054";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050062";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050070";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050089";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050097";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050100";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050119";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050127";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050135";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0101050143";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0102010056";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010064";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010072";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010145";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010153";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010161";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010170";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010188";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010196";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010200";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010218";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010226";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010234";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010242";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010250";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010269";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010277";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010285";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010293";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010307";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010315";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010323";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010331";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010340";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010358";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010366";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010374";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010382";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010390";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010404";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010412";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010420";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010439";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010447";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010455";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010463";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010471";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010480";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010498";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010501";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010510";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010528";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010536";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010544";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010552";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010560";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010579";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010587";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010595";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010609";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010617";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010625";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010633";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010641";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010650";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102010668";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102020019";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0102020027";"9999";"9999";"0000";"0048";"1571";"0000000000";"0000000000";"0000000000";"9999"
"0102020035";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999"
"0201010011";"0001";"9999";"0000";"0108";"0731";"0000000220";"0000000220";"0000000000";"9999"
