"co_grupo";"co_sub_grupo";"co_forma_organizacao";"co_procedimento";"no_procedimento"
"01";"01";"01";"0101010010";"ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO BÁSICA                                                                                                                                                                                               "
"01";"01";"01";"0101010028";"ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA                                                                                                                                                                                        "
"01";"01";"01";"0101010036";"PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO                                                                                                                                                                                                              "
"01";"01";"02";"0101020015";"AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL                                                                                                                                                                                                            "
"01";"01";"02";"0101020023";"AÇÃO COLETIVA DE BOCHECHO FLUORADO                                                                                                                                                                                                                        "
"01";"01";"02";"0101020031";"AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA                                                                                                                                                                                                          "
"01";"01";"02";"0101020040";"AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA                                                                                                                                                                                                "
"01";"01";"02";"0101020058";"APLICAÇÃO DE CARIOSTÁTICO (POR DENTE)                                                                                                                                                                                                                     "
"01";"01";"02";"0101020066";"APLICAÇÃO DE SELANTE (POR DENTE)                                                                                                                                                                                                                          "
"01";"01";"02";"0101020074";"APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO)                                                                                                                                                                                                         "
"01";"01";"02";"0101020082";"EVIDENCIAÇÃO DE PLACA BACTERIANA                                                                                                                                                                                                                          "
"01";"01";"02";"0101020090";"SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA                                                                                                                                                                                                                 "
"01";"01";"03";"0101030010";"VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO                                                                                                                                                                                                         "
"01";"01";"03";"0101030029";"VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR                                                                                                                                                                                        "
"01";"01";"04";"0101040024";"AVALIAÇÃO ANTROPOMÉTRICA                                                                                                                                                                                                                                  "
"01";"01";"04";"0101040032";"COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)                                                                                                                                                                                                             "
"01";"01";"04";"0101040040";"PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS)                                                                                                                                                                                                             "
"01";"01";"04";"0101040059";"ADMINISTRAÇÃO DE VITAMINA A                                                                                                                                                                                                                               "
"01";"01";"04";"0101040067";"APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES                                                                                                                                                                                                               "
"01";"01";"05";"0101050011";"PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA                                                                                                                                                                                                        "
"01";"01";"05";"0101050020";"TERAPIA COMUNITÁRIA                                                                                                                                                                                                                                       "
"01";"01";"05";"0101050046";"YOGA                                                                                                                                                                                                                                                      "
"01";"01";"05";"0101050054";"OFICINA DE MASSAGEM/ AUTO-MASSAGEM                                                                                                                                                                                                                        "
"01";"01";"05";"0101050062";"SESSÃO DE ARTETERAPIA                                                                                                                                                                                                                                     "
"01";"01";"05";"0101050070";"SESSÃO DE MEDITAÇÃO                                                                                                                                                                                                                                       "
"01";"01";"05";"0101050089";"SESSÃO DE MUSICOTERAPIA                                                                                                                                                                                                                                   "
"01";"01";"05";"0101050097";"SESSÃO DE ANTROPOSOFIA APLICADA À SAÚDE                                                                                                                                                                                                                   "
"01";"01";"05";"0101050100";"SESSÃO DE BIODANÇA                                                                                                                                                                                                                                        "
"01";"01";"05";"0101050119";"SESSÃO DE BIOENERGÉTICA                                                                                                                                                                                                                                   "
"01";"01";"05";"0101050127";"SESSÃO DE CONSTELAÇÃO FAMILIAR                                                                                                                                                                                                                            "
"01";"01";"05";"0101050135";"SESSÃO DE DANÇA CIRCULAR                                                                                                                                                                                                                                  "
"01";"01";"05";"0101050143";"SESSÃO DE TERMALISMO                                                                                                                                                                                                                                      "
"01";"02";"01";"0102010056";"ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO                                                                                                                                                                                                               "
"01";"02";"01";"0102010064";"ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA                                                                                                                                                                                                                "
"01";"02";"01";"0102010072";"CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                                                                                                                              "
"01";"02";"01";"0102010145";"INSPEÇÃO SANITÁRIA DE HOSPITAIS                                                                                                                                                                                                                           "
"01";"02";"01";"0102010153";"INVESTIGAÇÃO DE EVENTOS ADVERSOS E/OU QUEIXAS TÉCNICAS                                                                                                                                                                                                    "
"01";"02";"01";"0102010161";"EXCLUSÃO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA COM ATIVIDADES ENCERRADAS.                                                                                                                                                       "
"01";"02";"01";"0102010170";"INSPEÇÃO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                                                                                                                             "
"01";"02";"01";"0102010188";"LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                                                                                                                        "
"01";"02";"01";"0102010196";"APROVAÇÃO DE PROJETOS BÁSICOS DE ARQUITETURA                                                                                                                                                                                                              "
"01";"02";"01";"0102010200";"INVESTIGAÇÃO DE SURTOS DE DOENÇAS TRANSMITIDAS POR ALIMENTOS                                                                                                                                                                                              "
"01";"02";"01";"0102010218";"INVESTIGAÇÃO DE SURTOS DE INFECÇÃO EM SERVIÇOS DE SAÚDE                                                                                                                                                                                                   "
"01";"02";"01";"0102010226";"ATIVIDADE EDUCATIVA PARA A POPULAÇÃO                                                                                                                                                                                                                      "
"01";"02";"01";"0102010234";"RECEBIMENTO DE DENÚNCIAS/RECLAMAÇÕES                                                                                                                                                                                                                      "
"01";"02";"01";"0102010242";"ATENDIMENTO À DENÚNCIAS/RECLAMAÇÕES                                                                                                                                                                                                                       "
"01";"02";"01";"0102010250";"CADASTRO DE HOSPITAIS                                                                                                                                                                                                                                     "
"01";"02";"01";"0102010269";"LICENCIAMENTO SANITÁRIO DE HOSPITAIS                                                                                                                                                                                                                      "
"01";"02";"01";"0102010277";"CADASTRO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                                                                                                                                                 "
"01";"02";"01";"0102010285";"INSPEÇÃO SANITÁRIA DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                                                                                                                                       "
