"co_procedimento";"co_registro"
"0101010010";"01"
"0101010028";"01"
"0101010036";"01"
"0101020015";"01"
"0101020023";"01"
"0101020031";"01"
"0101020040";"01"
"0101020058";"01"
"0101020058";"02"
"0101020066";"01"
"0101020066";"02"
"0101020066";"05"
"0101020074";"01"
"0101020074";"02"
"0101020074";"05"
"0101020082";"01"
"0101020082";"02"
"0101020090";"01"
"0101020090";"02"
"0101020090";"05"
"0101030010";"01"
"0101030010";"02"
"0101030029";"01"
"0101030029";"02"
"0101040024";"01"
"0101040024";"02"
"0101040032";"01"
"0101040032";"02"
"0101040040";"01"
"0101040040";"02"
"0101040059";"01"
"0101040059";"02"
"0101040059";"05"
"0101040067";"01"
"0101040067";"02"
"0101040067";"05"
"0101050011";"01"
"0101050011";"02"
"0101050011";"05"
"0101050020";"01"
"0101050020";"02"
"0101050020";"05"
"0101050046";"01"
"0101050046";"02"
"0101050046";"05"
"0101050054";"01"
"0101050054";"02"
"0101050054";"05"
"0101050062";"02"
"0101050062";"05"
"0101050070";"02"
"0101050070";"05"
"0101050089";"02"
"0101050089";"05"
"0101050097";"02"
"0101050097";"05"
"0101050100";"02"
"0101050100";"05"
"0101050119";"02"
"0101050119";"05"
"0101050127";"02"
"0101050127";"05"
"0101050135";"02"
"0101050135";"05"
"0101050143";"02"
"0101050143";"05"
"0102010056";"01"
"0102010064";"01"
"0102010072";"01"
"0102010145";"01"
"0102010153";"01"
"0102010161";"01"
"0102010170";"01"
"0102010188";"01"
"0102010196";"01"
"0102010200";"01"
"0102010218";"01"
"0102010226";"01"
"0102010234";"01"
"0102010242";"01"
"0102010250";"01"
"0102010269";"01"
"0102010277";"01"
"0102010285";"01"
"0102010293";"01"
"0102010307";"01"
"0102010315";"01"
"0102010323";"01"
"0102010331";"01"
"0102010340";"01"
"0102010358";"01"
"0102010366";"01"
"0102010374";"01"
"0102010382";"01"
"0102010390";"01"
"0102010404";"01"
"0102010412";"01"
"0102010420";"01"
"0102010439";"01"
"0102010447";"01"
"0102010455";"01"
"0102010463";"01"
"0102010471";"01"
"0102010480";"01"
"0102010498";"01"
"0102010501";"01"
"0102010510";"01"
"0102010528";"01"
"0102010536";"01"
"0102010544";"01"
"0102010552";"01"
"0102010560";"01"
"0102010579";"01"
"0102010587";"01"
"0102010595";"01"
"0102010609";"01"
"0102010617";"01"
"0102010625";"01"
"0102010633";"01"
"0102010641";"01"
"0102010650";"01"
"0102010668";"01"
"0102020019";"01"
"0102020019";"02"
"0102020027";"01"
"0102020027";"02"
"0102020035";"01"
"0102020035";"02"
"0201010011";"02"
"0201010011";"04"
"0201010020";"01"
