"co_procedimento";"co_servico"
"0102010056";"141"
"0102010064";"141"
"0102010072";"141"
"0102010145";"141"
"0102010153";"141"
"0102010161";"141"
"0102010170";"141"
"0102010188";"141"
"0102010196";"141"
"0102010200";"141"
"0102010218";"141"
"0102010226";"108"
"0102010226";"141"
"0102010234";"108"
"0102010234";"141"
"0102010242";"141"
"0102010250";"141"
"0102010269";"141"
"0102010277";"141"
"0102010285";"141"
"0102010293";"141"
"0102010307";"141"
"0102010315";"141"
"0102010323";"141"
"0102010331";"141"
"0102010340";"141"
"0102010358";"141"
"0102010366";"141"
"0102010374";"141"
"0102010382";"141"
"0102010390";"141"
"0102010404";"141"
"0102010412";"141"
"0102010420";"141"
"0102010439";"141"
"0102010447";"141"
"0102010455";"141"
"0102010463";"141"
"0102010471";"141"
"0102010480";"141"
"0102010498";"141"
"0102010501";"141"
"0102010510";"141"
"0102010528";"141"
"0102010536";"141"
"0102010544";"141"
"0102010552";"141"
"0102010560";"141"
"0102010579";"141"
"0102010587";"141"
"0102010595";"141"
"0102010609";"141"
"0102010617";"141"
"0102010625";"141"
"0102010633";"141"
"0102010641";"141"
"0102010650";"141"
"0102010668";"141"
"0102020019";"108"
"0102020027";"108"
"0102020027";"108"
"0102020035";"108"
"0201010151";"110"
"0201010151";"120"
"0201010186";"131"
"0201010186";"132"
"0201010186";"132"
"0201010240";"131"
"0201010240";"132"
"0201010240";"132"
"0201010534";"105"
"0201010542";"121"
"0201010542";"121"
"0201010542";"121"
"0201010542";"121"
"0202010015";"145"
"0202010023";"145"
"0202010031";"145"
"0202010040";"145"
"0202010058";"145"
"0202010066";"145"
"0202010074";"145"
"0202010082";"145"
"0202010090";"145"
"0202010104";"145"
"0202010112";"145"
"0202010120";"145"
"0202010139";"145"
"0202010147";"145"
"0202010155";"145"
"0202010163";"145"
"0202010171";"145"
"0202010180";"145"
"0202010198";"145"
"0202010201";"145"
"0202010210";"145"
"0202010228";"145"
"0202010236";"145"
"0202010244";"145"
"0202010252";"145"
"0202010260";"145"
"0202010279";"145"
"0202010287";"145"
"0202010295";"145"
"0202010309";"145"
"0202010317";"145"
"0202010325";"145"
"0202010333";"145"
"0202010341";"145"
"0202010350";"145"
"0202010368";"145"
"0202010376";"145"
"0202010384";"145"
"0202010392";"145"
"0202010406";"145"
"0202010414";"145"
"0202010422";"145"
"0202010430";"145"
"0202010449";"145"
"0202010457";"145"
"0202010465";"145"
"0202010473";"145"
"0202010481";"145"
"0202010490";"145"
"0202010503";"145"
"0202010511";"145"
"0202010520";"145"
"0202010538";"145"
"0202010546";"145"
"0202010554";"145"
"0202010562";"145"
"0202010570";"145"
"0202010589";"145"
"0202010597";"145"
"0202010600";"145"
"0202010619";"145"
"0202010627";"145"
"0202010635";"145"
"0202010643";"145"
"0202010651";"145"
"0202010660";"145"
"0202010678";"145"
"0202010686";"145"
"0202010694";"145"
"0202010708";"145"
"0202010716";"145"
"0202010724";"145"
"0202010732";"145"
"0202010740";"145"
"0202010759";"145"
"0202010767";"145"
"0202020010";"145"
"0202020029";"145"
"0202020037";"145"
"0202020045";"145"
"0202020053";"145"
"0202020061";"145"
"0202020070";"145"
"0202020088";"145"
"0202020096";"145"
"0202020100";"145"
"0202020118";"145"
"0202020126";"145"
"0202020134";"145"
"0202020142";"145"
"0202020150";"145"
"0202020169";"145"
"0202020177";"145"
"0202020185";"145"
"0202020193";"145"
"0202020207";"145"
"0202020215";"145"
"0202020223";"145"
"0202020231";"145"
"0202020240";"145"
"0202020258";"145"
"0202020266";"145"
"0202020274";"145"
"0202020282";"145"
"0202020290";"145"
"0202020304";"145"
"0202020312";"145"
"0202020320";"145"
"0202020339";"145"
"0202020347";"145"
"0202020355";"145"
"0202020363";"145"
"0202020371";"145"
"0202020380";"145"
"0202020398";"145"
"0202020401";"145"
"0202020410";"145"
"0202020428";"145"
"0202020436";"145"
"0202020444";"145"
"0202020460";"145"
"0202020479";"128"
"0202020487";"145"
"0202020495";"145"
"0202020517";"145"
"0202020525";"145"
"0202020533";"145"
"0202020541";"145"
"0202030016";"145"
"0202030024";"145"
"0202030032";"145"
"0202030040";"145"
"0202030059";"145"
"0202030067";"145"
"0202030075";"145"
"0202030083";"145"
"0202030091";"145"
"0202030105";"145"
"0202030113";"145"
"0202030121";"145"
"0202030130";"145"
"0202030148";"145"
"0202030156";"145"
"0202030164";"145"
"0202030172";"145"
"0202030180";"145"
"0202030199";"145"
"0202030202";"145"
"0202030210";"145"
"0202030229";"145"
"0202030237";"132"
"0202030237";"145"
"0202030253";"145"
"0202030261";"145"
"0202030270";"145"
"0202030288";"145"
"0202030296";"145"
"0202030300";"145"
"0202030318";"145"
"0202030326";"145"
"0202030334";"145"
"0202030342";"145"
"0202030350";"145"
"0202030369";"145"
"0202030377";"145"
"0202030385";"145"
"0202030393";"145"
"0202030407";"145"
"0202030415";"145"
"0202030423";"145"
"0202030431";"145"
"0202030440";"145"
"0202030458";"145"
"0202030466";"145"
"0202030474";"145"
"0202030482";"145"
"0202030504";"145"
"0202030512";"145"
"0202030520";"145"
"0202030539";"145"
"0202030547";"145"
"0202030555";"145"
"0202030563";"145"
"0202030571";"145"
"0202030580";"145"
"0202030598";"145"
"0202030601";"145"
"0202030610";"145"
"0202030628";"145"
"0202030636";"145"
"0202030644";"145"
"0202030652";"145"
"0202030660";"145"
"0202030679";"145"
"0202030687";"145"
"0202030695";"145"
"0202030709";"145"
"0202030717";"145"
"0202030725";"145"
"0202030733";"145"
"0202030741";"145"
"0202030750";"145"
"0202030768";"145"
"0202030776";"145"
"0202030784";"145"
"0202030792";"145"
"0202030806";"145"
"0202030814";"145"
"0202030822";"145"
"0202030830";"145"
"0202030849";"145"
"0202030857";"145"
"0202030865";"145"
"0202030873";"145"
"0202030881";"145"
"0202030890";"145"
"0202030903";"145"
"0202030911";"145"
"0202030920";"145"
"0202030938";"145"
"0202030946";"145"
"0202030954";"145"
"0202030962";"145"
"0202030970";"145"
"0202030989";"145"
"0202030997";"145"
"0202031004";"145"
"0202031012";"145"
"0202031020";"145"
"0202031039";"145"
"0202031047";"145"
"0202031055";"145"
"0202031063";"145"
"0202031071";"145"
"0202031080";"145"
"0202031098";"145"
"0202031101";"145"
"0202031110";"145"
"0202031128";"145"
"0202031136";"145"
"0202031179";"145"
"0202031187";"145"
"0202031195";"145"
"0202031209";"145"
"0202031217";"145"
"0202031225";"145"
"0202031233";"145"
"0202031233";"145"
"0202031250";"145"
"0202031250";"145"
"0202031268";"145"
"0202031268";"145"
"0202040011";"145"
"0202040020";"145"
"0202040038";"145"
"0202040046";"145"
"0202040054";"145"
"0202040062";"145"
