co_grupo;co_sub_grupo;no_grupo;no_sub_grupo;co_forma_organizacao;no_forma_organizacao;co_procedimento;no_procedimento;tp_complexidade;tp_sexo;qtde_max_execucao;qtde_dias_permanencia;qtde_pontos;vl_idade_minima;vl_idade_maxima;vl_sh;vl_sa;vl_sp;co_financiamento;co_rubrica;qtde_tempo_permanencia;dt_competencia
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010010;ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA;1;N;9999;9999;0000;9999;9999;000000000000;000000000000;000000000000;01;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010028;ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA;2;I;9999;9999;0000;0084;1571;000000000000;000000000270;000000000000;06;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010036;PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO;1;I;9999;9999;0000;0072;1571;000000000000;000000000000;000000000000;01;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010095;PREVENÇÃO DA COVID-19 NAS ESCOLAS;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;01;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010109;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DAMALÁRIA;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010117;ATIVIDADE DE EDUCAÇÃO PERMANENTE EM SAÚDE DO TRABALHADOR;2;N;9999;9999;0000;9999;9999;000000000000;000000000000;000000000000;05;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010125;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DE ACIDENTE POR ANIMAIS PEÇONHENTOS.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010133;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA CÓLERA.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010141;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA DOENÇA DE HAFF.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010184;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DE LEISHMANIOSE TEGUMENTAR.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010192;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA LEISHMANIOSE VISCERAL.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010206;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA LEPTOSPIROSE;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010214;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA DOENÇA DA RAIVA.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010222;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA TOXOPLASMOSE.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010230;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DE UMA SÓ SAÚDE.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010249;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA HANSENÍASE;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010257;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA ESQUISTOSSOMOSE.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010265;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DO TRACOMA.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010273;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DAS GEO-HELMINTÍASES;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010150;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DE DOENÇAS DIARREICAS AGUDAS.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010168;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA ESPOROTRICOSE.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010176;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA FEBRE MACULOSA BRASILEIRA.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010303;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA DOENÇA DE CHAGAS.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
01;01;Ações de promoção e prevenção em saúde;Ações coletivas/individuais em saúde;01;Educação em saúde;0101010281;ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA ONCOCERCOSE.;1;I;9999;9999;0000;0000;1571;000000000000;000000000000;000000000000;07;"";9999;202510
