"co_procedimento";"co_registro_principal";"co_procedimento_compativel";"co_registro_compativel";"tp_compatibilidade";"qt_permitida";"dt_competencia"
"0211070092";"06";"0211070041";"07";"1";"0001";"201809"
"0211070092";"06";"0211070203";"07";"1";"0001";"201809"
"0211070092";"06";"0211070211";"07";"1";"0001";"201809"
"0211070106";"06";"0211070025";"07";"1";"0001";"201809"
"0211070106";"06";"0211070041";"07";"1";"0001";"201809"
"0211070106";"06";"0211070157";"07";"1";"0001";"201809"
"0211070106";"06";"0211070203";"07";"1";"0001";"201809"
"0211070106";"06";"0211070211";"07";"1";"0001";"201809"
"0211070106";"06";"0211070262";"07";"1";"0001";"201809"
"0211070297";"06";"0211070041";"07";"1";"0001";"201809"
"0211070297";"06";"0211070203";"07";"1";"0001";"201809"
"0211070297";"06";"0211070211";"07";"1";"0001";"201809"
"0211070300";"06";"0211070025";"07";"1";"0001";"201809"
"0211070300";"06";"0211070041";"07";"1";"0001";"201809"
"0211070300";"06";"0211070157";"07";"1";"0001";"201809"
"0211070300";"06";"0211070203";"07";"1";"0001";"201809"
"0211070300";"06";"0211070211";"07";"1";"0001";"201809"
"0211070300";"06";"0211070262";"07";"1";"0001";"201809"
"0211070319";"06";"0211070033";"07";"1";"0001";"201809"
"0211070319";"06";"0211070246";"07";"1";"0001";"201809"
"0211070378";"06";"0211070025";"07";"1";"0001";"201809"
"0211070378";"06";"0211070033";"07";"1";"0001";"201809"
"0211070378";"06";"0211070041";"07";"1";"0001";"201809"
"0211070378";"06";"0211070157";"07";"1";"0001";"201809"
"0211070378";"06";"0211070203";"07";"1";"0001";"201809"
"0211070378";"06";"0211070211";"07";"1";"0001";"201809"
"0211070378";"06";"0211070246";"07";"1";"0001";"201809"
"0211070378";"06";"0211070262";"07";"1";"0001";"201809"
"0211070416";"06";"0211070025";"07";"1";"0001";"201809"
"0211070416";"06";"0211070033";"07";"1";"0001";"201809"
"0211070416";"06";"0211070041";"07";"1";"0001";"201809"
"0211070416";"06";"0211070157";"07";"1";"0001";"201809"
"0211070416";"06";"0211070211";"07";"1";"0001";"201809"
"0211070416";"06";"0211070246";"07";"1";"0001";"201809"
"0211070416";"06";"0211070262";"07";"1";"0001";"201809"
"0301010102";"06";"0303050039";"07";"1";"0001";"201809"
"0301010102";"06";"0303050047";"07";"1";"0001";"201809"
"0301010102";"06";"0303050055";"07";"1";"0001";"201809"
"0301010102";"06";"0303050063";"07";"1";"0001";"201809"
"0301010102";"06";"0303050071";"07";"1";"0001";"201809"
"0301010102";"06";"0303050080";"07";"1";"0001";"201809"
"0301010102";"06";"0303050098";"07";"1";"0001";"201809"
"0301010102";"06";"0303050101";"07";"1";"0001";"201809"
"0301010102";"06";"0303050110";"07";"1";"0001";"201809"
"0301010102";"06";"0303050152";"07";"1";"0001";"201809"
"0301010102";"06";"0303050160";"07";"1";"0001";"201809"
"0301010102";"06";"0303050179";"07";"1";"0001";"201809"
"0301010102";"06";"0303050187";"07";"1";"0001";"201809"
"0301010102";"06";"0303050195";"07";"1";"0001";"201809"
"0301010102";"06";"0303050209";"07";"1";"0001";"201809"
"0301010102";"06";"0303050217";"07";"1";"0001";"201809"
"0301010102";"06";"0303050225";"07";"1";"0001";"201809"
"0301010196";"06";"0202100057";"07";"1";"0001";"201809"
"0301010196";"06";"0202100065";"07";"1";"0001";"201809"
"0301010196";"06";"0202100073";"07";"1";"0001";"201809"
"0301010196";"06";"0202100081";"07";"1";"0001";"201809"
"0301010196";"06";"0202100090";"07";"1";"0001";"201809"
"0301010196";"06";"0202100103";"07";"1";"0001";"201809"
"0301010196";"06";"0202100111";"07";"1";"0001";"201809"
"0301010200";"06";"0202100057";"07";"1";"0001";"201809"
"0301010200";"06";"0202100065";"07";"1";"0001";"201809"
"0301010200";"06";"0202100073";"07";"1";"0001";"201809"
"0301010200";"06";"0202100081";"07";"1";"0001";"201809"
"0301010200";"06";"0202100090";"07";"1";"0001";"201809"
"0301010200";"06";"0202100103";"07";"1";"0001";"201809"
"0301010200";"06";"0202100111";"07";"1";"0001";"201809"
"0301010200";"06";"0202100120";"07";"1";"0001";"201809"
"0301010200";"06";"0202100138";"07";"1";"0001";"201809"
"0301010200";"06";"0202100146";"07";"1";"0001";"201809"
"0301010200";"06";"0202100154";"07";"1";"0001";"201809"
"0301010200";"06";"0202100162";"07";"1";"0001";"201809"
"0301010218";"06";"0202050076";"07";"1";"0001";"201809"
"0301010218";"06";"0202100057";"07";"1";"0001";"201809"
"0301010218";"06";"0202100073";"07";"1";"0001";"201809"
"0301010218";"06";"0202100081";"07";"1";"0001";"201809"
"0301010218";"06";"0202100103";"07";"1";"0001";"201809"
"0301010218";"06";"0202100111";"07";"1";"0001";"201809"
"0301010218";"06";"0202100120";"07";"1";"0001";"201809"
"0301010218";"06";"0202100138";"07";"1";"0001";"201809"
"0301010218";"06";"0202100146";"07";"1";"0001";"201809"
"0301010218";"06";"0202100154";"07";"1";"0001";"201809"
"0301010218";"06";"0202100162";"07";"1";"0001";"201809"
"0301010218";"06";"0202100170";"07";"1";"0001";"201809"
"0301010218";"06";"0202100189";"07";"1";"0001";"201809"
"0301010218";"06";"0202100197";"07";"1";"0001";"201809"
"0301050015";"06";"0301050066";"07";"1";"0031";"201809"
"0301050074";"03";"0301050066";"05";"1";"0031";"201809"
"0301070016";"06";"0211070025";"07";"1";"0001";"201809"
"0301070016";"06";"0211070033";"07";"1";"0001";"201809"
"0301070016";"06";"0211070203";"07";"1";"0001";"201809"
"0301070016";"06";"0211070211";"07";"1";"0001";"201809"
"0301070032";"06";"0211070025";"07";"1";"0001";"201809"
"0301070032";"06";"0211070033";"07";"1";"0001";"201809"
"0301070032";"06";"0211070041";"07";"1";"0001";"201809"
"0301070032";"06";"0211070203";"07";"1";"0001";"201809"
"0301070032";"06";"0211070211";"07";"1";"0001";"201809"
"0301070032";"06";"0211070246";"07";"1";"0001";"201809"
"0301070032";"06";"0701030151";"07";"1";"0002";"201809"
"0301070172";"06";"0701090103";"07";"1";"0004";"201809"
"0301070172";"06";"0701090111";"07";"1";"0004";"201809"
"0301070172";"06";"0701090120";"07";"1";"0004";"201809"
"0301070172";"06";"0701090138";"07";"1";"0004";"201809"
"0301070172";"06";"0701090146";"07";"1";"0004";"201809"
"0301070172";"06";"0701090154";"07";"1";"0004";"201809"
"0301070172";"06";"0701090162";"07";"1";"0004";"201809"
"0301070172";"06";"0701090170";"07";"1";"0004";"201809"
"0301070172";"06";"0701090189";"07";"1";"0004";"201809"
"0301070172";"06";"0701090197";"07";"1";"0004";"201809"
"0301070172";"06";"0701090200";"07";"1";"0004";"201809"
"0301070172";"06";"0701090219";"07";"1";"0004";"201809"
"0301070172";"06";"0701090227";"07";"1";"0004";"201809"
"0301070172";"06";"0701090235";"07";"1";"0004";"201809"
"0301070180";"06";"0211070033";"07";"1";"0001";"201809"
"0301070180";"06";"0211070076";"07";"1";"0001";"201809"
"0301070180";"06";"0211070211";"07";"1";"0001";"201809"
"0301070180";"06";"0211070246";"07";"1";"0001";"201809"
"0301070199";"06";"0211070025";"07";"1";"0001";"201809"
"0301070199";"06";"0211070033";"07";"1";"0001";"201809"
"0301070199";"06";"0211070041";"07";"1";"0001";"201809"
"0301070199";"06";"0211070076";"07";"1";"0001";"201809"
"0301070199";"06";"0211070203";"07";"1";"0001";"201809"
"0301070199";"06";"0211070211";"07";"1";"0001";"201809"
"0301070199";"06";"0211070246";"07";"1";"0001";"201809"
"0301070199";"06";"0211070386";"07";"1";"0001";"201809"
"0301070199";"06";"0211070394";"07";"1";"0001";"201809"
"0301070199";"06";"0211070408";"07";"1";"0001";"201809"
"0301080020";"09";"0301080038";"09";"1";"0030";"201809"
"0301080020";"09";"0301080194";"09";"1";"0030";"201809"
"0301080020";"09";"0301080208";"09";"1";"0000";"201809"
"0301080020";"09";"0301080216";"09";"1";"0000";"201809"
"0301080020";"09";"0301080224";"09";"1";"0000";"201809"
"0301080020";"09";"0301080240";"09";"1";"0000";"201809"
"0301080020";"09";"0301080275";"09";"1";"0000";"201809"
"0301080020";"09";"0301080283";"09";"1";"0000";"201809"
"0301080020";"09";"0301080291";"09";"1";"0000";"201809"
"0301080020";"09";"0301080348";"09";"1";"0000";"201809"
"0301080020";"09";"0301080356";"09";"1";"0000";"201809"
"0301080038";"09";"0301080020";"09";"1";"0030";"201809"
"0301080038";"09";"0301080194";"09";"1";"0030";"201809"
"0301080038";"09";"0301080208";"09";"1";"0000";"201809"
"0301080038";"09";"0301080216";"09";"1";"0000";"201809"
"0301080038";"09";"0301080224";"09";"1";"0000";"201809"
"0301080038";"09";"0301080240";"09";"1";"0000";"201809"
"0301080038";"09";"0301080275";"09";"1";"0000";"201809"
"0301080038";"09";"0301080283";"09";"1";"0000";"201809"
"0301080038";"09";"0301080291";"09";"1";"0000";"201809"
"0301080038";"09";"0301080348";"09";"1";"0000";"201809"
"0301080038";"09";"0301080356";"09";"1";"0000";"201809"
"0301080046";"09";"0301080020";"09";"3";"0001";"201809"
"0301080046";"09";"0301080038";"09";"3";"0001";"201809"
"0301080046";"09";"0301080194";"09";"3";"0001";"201809"
"0301080046";"09";"0301080208";"09";"3";"0001";"201809"
"0301080046";"09";"0301080216";"09";"3";"0001";"201809"
"0301080046";"09";"0301080224";"09";"3";"0001";"201809"
"0301080046";"09";"0301080240";"09";"3";"0001";"201809"
"0301080046";"09";"0301080275";"09";"3";"0001";"201809"
"0301080046";"09";"0301080283";"09";"3";"0001";"201809"
"0301080046";"09";"0301080291";"09";"3";"0001";"201809"
"0301080046";"09";"0301080348";"09";"3";"0001";"201809"
"0301080046";"09";"0301080356";"09";"3";"0001";"201809"
"0301080194";"09";"0301080020";"09";"1";"0030";"201809"
"0301080194";"09";"0301080038";"09";"1";"0030";"201809"
"0301080194";"09";"0301080208";"09";"1";"0000";"201809"
"0301080194";"09";"0301080216";"09";"1";"0000";"201809"
"0301080194";"09";"0301080224";"09";"1";"0000";"201809"
"0301080194";"09";"0301080240";"09";"1";"0000";"201809"
"0301080194";"09";"0301080275";"09";"1";"0000";"201809"
"0301080194";"09";"0301080283";"09";"1";"0000";"201809"
"0301080194";"09";"0301080291";"09";"1";"0000";"201809"
"0301080194";"09";"0301080348";"09";"1";"0000";"201809"
"0301080194";"09";"0301080356";"09";"1";"0000";"201809"
"0301080208";"09";"0301080020";"09";"1";"0000";"201809"
"0301080208";"09";"0301080038";"09";"1";"0000";"201809"
"0301080208";"09";"0301080194";"09";"1";"0000";"201809"
"0301080208";"09";"0301080216";"09";"1";"0000";"201809"
"0301080208";"09";"0301080224";"09";"1";"0000";"201809"
"0301080208";"09";"0301080240";"09";"1";"0000";"201809"
"0301080208";"09";"0301080275";"09";"1";"0000";"201809"
"0301080208";"09";"0301080283";"09";"1";"0000";"201809"
"0301080208";"09";"0301080291";"09";"1";"0000";"201809"
"0301080208";"09";"0301080348";"09";"1";"0000";"201809"
"0301080208";"09";"0301080356";"09";"1";"0000";"201809"
"0301080216";"09";"0301080020";"09";"1";"0000";"201809"
"0301080216";"09";"0301080038";"09";"1";"0000";"201809"
"0301080216";"09";"0301080194";"09";"1";"0000";"201809"
"0301080216";"09";"0301080208";"09";"1";"0000";"201809"
"0301080216";"09";"0301080224";"09";"1";"0000";"201809"
"0301080216";"09";"0301080240";"09";"1";"0000";"201809"
"0301080216";"09";"0301080275";"09";"1";"0000";"201809"
"0301080216";"09";"0301080283";"09";"1";"0000";"201809"
"0301080216";"09";"0301080291";"09";"1";"0000";"201809"
"0301080216";"09";"0301080348";"09";"1";"0000";"201809"
"0301080216";"09";"0301080356";"09";"1";"0000";"201809"
"0301080224";"09";"0301080020";"09";"1";"0000";"201809"
"0301080224";"09";"0301080038";"09";"1";"0000";"201809"
"0301080224";"09";"0301080194";"09";"1";"0000";"201809"
"0301080224";"09";"0301080208";"09";"1";"0000";"201809"
"0301080224";"09";"0301080216";"09";"1";"0000";"201809"
"0301080224";"09";"0301080240";"09";"1";"0000";"201809"
"0301080224";"09";"0301080275";"09";"1";"0000";"201809"
"0301080224";"09";"0301080283";"09";"1";"0000";"201809"
"0301080224";"09";"0301080291";"09";"1";"0000";"201809"
"0301080224";"09";"0301080348";"09";"1";"0000";"201809"
"0301080224";"09";"0301080356";"09";"1";"0000";"201809"
"0301080240";"09";"0301080020";"09";"1";"0000";"201809"
"0301080240";"09";"0301080038";"09";"1";"0000";"201809"
"0301080240";"09";"0301080194";"09";"1";"0000";"201809"
"0301080240";"09";"0301080208";"09";"1";"0000";"201809"
"0301080240";"09";"0301080216";"09";"1";"0000";"201809"
"0301080240";"09";"0301080224";"09";"1";"0000";"201809"
"0301080240";"09";"0301080275";"09";"1";"0000";"201809"
"0301080240";"09";"0301080283";"09";"1";"0000";"201809"
"0301080240";"09";"0301080291";"09";"1";"0000";"201809"
"0301080240";"09";"0301080348";"09";"1";"0000";"201809"
"0301080240";"09";"0301080356";"09";"1";"0000";"201809"
"0301080275";"09";"0301080020";"09";"1";"0000";"201809"
"0301080275";"09";"0301080038";"09";"1";"0000";"201809"
"0301080275";"09";"0301080194";"09";"1";"0000";"201809"
"0301080275";"09";"0301080208";"09";"1";"0000";"201809"
"0301080275";"09";"0301080216";"09";"1";"0000";"201809"
"0301080275";"09";"0301080224";"09";"1";"0000";"201809"
