0176h                   h                                                                                                                                                                                                                                                         
01782409 e 2430         Grupo do transplante de figado                                                                                                                                                                                                                            
01770801 e 0803d        dsa                                                                                                                                                                                                                                                       
0174Teste               Criando um grupo para teste                                                                                                                                                                                                                               
0175Teste               Criando um Grupo para Teste                                                                                                                                                                                                                               
01732418 e 2425          Exames de histocompatibilidade através de sorologia e ou biologia molecular - Tipo II e Cadastramento de doadores voluntários de medula óssea e outros precursores hematopoéticos                                                                        
00010801 e 0803         Unidade de Assistência de Alta Complexidade Cardiovascular com Cirurgia Cardiovascular e Procedimentos em Cardiologia Intervencionista                                                                                                                    
00020801 e 0804         Unidade de Assistência de Alta Complexidade Cardiovascular com Cirurgia Cardiovascular Pediátrica                                                                                                                                                         
00030801 e 0805         Unidade de Assistência de Alta Complexidade Cardiovascular com Cirurgia Vascular                                                                                                                                                                          
00040801 e 0806         Unidade de Assistência de Alta Complexidade Cardiovascular com Cirurgia Vascular e Procedimentos Endovasculares Extracardíacos                                                                                                                            
00050801 e 0807         Unidade de Assistência de Alta Complexidade Cardiovascular com Laboratório de Eletrofisiologia, Cirurgia Cardiovascular e procedimentos de Cardiologia Intervencionista                                                                                   
00060802 e 0803         Centro de Referência em Alta Complexidade Cardiovascular com Cirurgia Cardiovascular e Procedimentos em Cardiologia Intervencionista                                                                                                                      
00070802 e 0804         Centro de Referência em Alta Complexidade Cardiovascular com Cirurgia Cardiovascular Pediátrica                                                                                                                                                           
00080802 e 0805         Centro de Referência em Alta Complexidade Cardiovascular com Cirurgia Vascular                                                                                                                                                                            
00090802 e 0806         Centro de Referência em Alta Complexidade Cardiovascular com Cirurgia Vascular e Procedimentos Endovasculares Extracardíacos                                                                                                                              
00100802 e 0807         Centro de Referência em Alta Complexidade Cardiovascular com Laboratório de Eletrofisiologia, Cirurgia Cardiovascular e procedimentos de Cardiologia Intervencionista                                                                                     
00512301 e 2303         Unidade de assitência de alta complexidade em terapia nutricional e Enteral                                                                                                                                                                               
00712301 e 2304         Unidade de assistencia de alta complexidade em terapia nutricional e Enteral e parenteral                                                                                                                                                                 
00722301 e 2305         Unidade de assistencia de alta complexidade em terapia nutricional e Enteral e parenteral com manipulação e fabricação de formula nutricional                                                                                                             
00732302 e 2303         Centro de referência de alta complexidade em terapia nutricional e Enteral                                                                                                                                                                                
00742302 e 2304         Centro de referência de alta complexidade em terapia nutricional e Enteral e parenteral                                                                                                                                                                   
00912302 e 2305         Centro de referência de alta complexidade em terapia nutricional e Enteral e parenteral com manipulação de formula nutricional                                                                                                                            
01511601-1603-1604-1605 Assistência em Neurologia                                                                                                                                                                                                                                 
01811708 e 1722         UNACON                                                                                                                                                                                                                                                    
01841709 e 1722         CACON                                                                                                                                                                                                                                                     
01791706 e 1722         UNACON                                                                                                                                                                                                                                                    
01801707 e 1722         UNACON                                                                                                                                                                                                                                                    
01821712 e 1722         UNACON                                                                                                                                                                                                                                                    
01831713 e 1722         UNACON                                                                                                                                                                                                                                                    
01850801, 0803 e 0815   Cardiologia                                                                                                                                                                                                                                               
01860802, 0803 e 0815   Cardiologia                                                                                                                                                                                                                                               
