"co_grupo";"no_grupo";"co_sub_grupo";"no_sub_grupo";"co_forma_organizacao";"no_forma_organizacao";"co_procedimento";"no_procedimento";"qt_maxima_execucao";"qt_dias_permanencia";"qt_pontos";"vl_idade_minima";"vl_idade_maxima";"vl_servico_hospitalar";"vl_servico_ambulatorial";"vl_servico_profissional";"qt_tempo_permanencia";"dt_competencia"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"01";"Educação em saúde                                                                                   ";"0101010010";"ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO BÁSICA                                                                                                                                                                                               ";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"01";"Educação em saúde                                                                                   ";"0101010028";"ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA                                                                                                                                                                                        ";"9999";"9999";"0000";"0084";"1571";"0000000000";"0000000270";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"01";"Educação em saúde                                                                                   ";"0101010036";"PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO                                                                                                                                                                                                              ";"9999";"9999";"0000";"0072";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"02";"Saúde bucal                                                                                         ";"0101020015";"AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL                                                                                                                                                                                                            ";"9999";"9999";"0000";"0048";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"02";"Saúde bucal                                                                                         ";"0101020023";"AÇÃO COLETIVA DE BOCHECHO FLUORADO                                                                                                                                                                                                                        ";"9999";"9999";"0000";"0084";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"02";"Saúde bucal                                                                                         ";"0101020031";"AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA                                                                                                                                                                                                          ";"9999";"9999";"0000";"0036";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"02";"Saúde bucal                                                                                         ";"0101020040";"AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA                                                                                                                                                                                                ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"02";"Saúde bucal                                                                                         ";"0101020058";"APLICAÇÃO DE CARIOSTÁTICO (POR DENTE)                                                                                                                                                                                                                     ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"02";"Saúde bucal                                                                                         ";"0101020066";"APLICAÇÃO DE SELANTE (POR DENTE)                                                                                                                                                                                                                          ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"02";"Saúde bucal                                                                                         ";"0101020074";"APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO)                                                                                                                                                                                                         ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"02";"Saúde bucal                                                                                         ";"0101020082";"EVIDENCIAÇÃO DE PLACA BACTERIANA                                                                                                                                                                                                                          ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"02";"Saúde bucal                                                                                         ";"0101020090";"SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA                                                                                                                                                                                                                 ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"03";"Visita domiciliar                                                                                   ";"0101030010";"VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO                                                                                                                                                                                                         ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"03";"Visita domiciliar                                                                                   ";"0101030029";"VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR                                                                                                                                                                                        ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"04";"Alimentação e nutrição                                                                              ";"0101040024";"AVALIAÇÃO ANTROPOMÉTRICA                                                                                                                                                                                                                                  ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"04";"Alimentação e nutrição                                                                              ";"0101040032";"COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)                                                                                                                                                                                                             ";"9999";"9999";"0000";"0144";"0599";"0000000000";"0000000300";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"04";"Alimentação e nutrição                                                                              ";"0101040040";"PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS)                                                                                                                                                                                                             ";"9999";"9999";"0000";"9999";"9999";"0000000000";"0000001106";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"04";"Alimentação e nutrição                                                                              ";"0101040059";"ADMINISTRAÇÃO DE VITAMINA A                                                                                                                                                                                                                               ";"9999";"9999";"0000";"0006";"0599";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"04";"Alimentação e nutrição                                                                              ";"0101040067";"APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES                                                                                                                                                                                                               ";"9999";"9999";"0000";"0006";"0599";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050011";"PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA                                                                                                                                                                                                        ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050020";"TERAPIA COMUNITÁRIA                                                                                                                                                                                                                                       ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050046";"YOGA                                                                                                                                                                                                                                                      ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050054";"OFICINA DE MASSAGEM/ AUTO-MASSAGEM                                                                                                                                                                                                                        ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050062";"SESSÃO DE ARTETERAPIA                                                                                                                                                                                                                                     ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050070";"SESSÃO DE MEDITAÇÃO                                                                                                                                                                                                                                       ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050089";"SESSÃO DE MUSICOTERAPIA                                                                                                                                                                                                                                   ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050097";"SESSÃO DE ANTROPOSOFIA APLICADA À SAÚDE                                                                                                                                                                                                                   ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050100";"SESSÃO DE BIODANÇA                                                                                                                                                                                                                                        ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050119";"SESSÃO DE BIOENERGÉTICA                                                                                                                                                                                                                                   ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050127";"SESSÃO DE CONSTELAÇÃO FAMILIAR                                                                                                                                                                                                                            ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050135";"SESSÃO DE DANÇA CIRCULAR                                                                                                                                                                                                                                  ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
"01";"Ações de promoção e prevenção em saúde                                                              ";"01";"Ações coletivas/individuais em saúde                                                                ";"05";"Praticas Integrativas/Complementares                                                                ";"0101050143";"SESSÃO DE TERMALISMO                                                                                                                                                                                                                                      ";"9999";"9999";"0000";"0000";"1571";"0000000000";"0000000000";"0000000000";"9999";"201904"
